clock: 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         4 kB       152ms       0.0%   13922.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB        78ms       0.4%   27034.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        12 kB        72ms       0.3%   29253.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB        66ms       0.7%   32096.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB        65ms       0.6%   32760.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB        66ms       0.9%   32376.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        40 kB        65ms       0.6%   32702.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        48 kB        66ms       1.0%   32192.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        56 kB        65ms       1.2%   32506.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        64 kB        66ms       1.7%   32246.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        72 kB        65ms       0.7%   32767.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        80 kB        65ms       2.1%   32727.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        88 kB        65ms       1.1%   32981.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        96 kB        65ms       1.5%   32766.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       104 kB        64ms       0.9%   32896.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       112 kB        65ms       1.1%   32791.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       120 kB        64ms       1.0%   32968.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       128 kB        65ms       1.5%   32871.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       136 kB        64ms       0.8%   32935.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       144 kB        64ms       1.0%   32934.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       152 kB        64ms       1.1%   33015.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       160 kB        64ms       1.5%   32934.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       168 kB        64ms       0.8%   32997.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       176 kB        64ms       0.8%   33001.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       184 kB        64ms       0.6%   32979.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       192 kB        64ms       1.2%   32934.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       200 kB        64ms       0.9%   32999.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       208 kB        64ms       1.1%   32974.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       216 kB        64ms       1.2%   33060.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       224 kB        68ms       0.4%   31121.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       232 kB        71ms       0.6%   29806.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       240 kB        71ms       0.8%   29823.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       248 kB        77ms       0.9%   27703.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       256 kB        72ms       1.7%   29566.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       296 kB        82ms       4.7%   26423.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       344 kB        93ms       3.1%   22843.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       408 kB       123ms      12.0%   17619.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       472 kB       183ms       0.5%   11536.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       560 kB       188ms       0.1%   11251.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       656 kB       185ms       0.0%   11420.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       768 kB       175ms       0.1%   12101.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       896 kB       177ms       0.1%   11954.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1048 kB       187ms       0.1%   11330.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1224 kB       188ms       0.1%   11221.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1432 kB       188ms       0.1%   11262.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
